api,inboundDependencyCount,inboundDependents,outboundDependencyCount,outboundDependencies
Service-16002,3,"[Service-17125, Service-12304, Service-1439]",0,[]
Service-16003,1,"[Service-15878]",3,"[Service-2349, Service-15816, Service-579]"
Service-16004,1,"[Service-10759]",0,[]
Service-16005,0,[],3,"[Service-12632, Service-15199, Service-16299]"
Service-16006,1,"[Service-8650]",2,"[Service-11584, Service-5613]"
Service-16007,3,"[Service-17336, Service-12406, Service-13581]",0,[]
Service-16008,1,"[Service-14449]",3,"[Service-16594, Service-15108, Service-12164]"
Service-16009,3,"[Service-5773, Service-7044, Service-16916]",1,"[Service-7432]"
Service-16010,4,"[Service-10411, Service-523, Service-17223, Service-15734]",3,"[Service-3975, Service-6706, Service-6033]"
Service-16011,1,"[Service-8816]",0,[]
Service-16012,4,"[Service-16260, Service-18244, Service-6686, Service-3352]",3,"[Service-8512, Service-12375, Service-17321]"
Service-16013,4,"[Service-13659, Service-14952, Service-2942, Service-13412]",4,"[Service-7996, Service-10259, Service-9745, Service-15561]"
Service-16014,4,"[Service-5184, Service-17483, Service-5110, Service-19529]",2,"[Service-4273, Service-258]"
Service-16015,0,[],1,"[Service-6291]"
Service-16016,1,"[Service-6212]",2,"[Service-15767, Service-14124]"
Service-16017,0,[],0,[]
Service-16018,0,[],1,"[Service-10369]"
Service-16019,4,"[Service-11291, Service-19312, Service-14357, Service-6588]",2,"[Service-9277, Service-8884]"
Service-16020,3,"[Service-12680, Service-8102, Service-11359]",0,[]
Service-16021,1,"[Service-19833]",1,"[Service-15769]"
Service-16022,2,"[Service-3397, Service-12121]",2,"[Service-2427, Service-10876]"
Service-16023,0,[],1,"[Service-5764]"
Service-16024,2,"[Service-1108, Service-8528]",1,"[Service-5030]"
Service-16025,2,"[Service-4737, Service-18240]",3,"[Service-9287, Service-9160, Service-12973]"
Service-16026,2,"[Service-6717, Service-5963]",3,"[Service-18514, Service-19518, Service-8366]"
Service-16027,2,"[Service-5414, Service-18582]",2,"[Service-10822, Service-19670]"
Service-16028,0,[],3,"[Service-6354, Service-14226, Service-14481]"
Service-16029,4,"[Service-3589, Service-2684, Service-1336, Service-10165]",0,[]
Service-16030,0,[],3,"[Service-15612, Service-19014, Service-14919]"
Service-16031,4,"[Service-9939, Service-1015, Service-18004, Service-5128]",0,[]
Service-16032,4,"[Service-15498, Service-408, Service-15644, Service-2286]",4,"[Service-18406, Service-15258, Service-8233, Service-13445]"
Service-16033,3,"[Service-18833, Service-8346, Service-7839]",3,"[Service-9301, Service-7122, Service-3798]"
Service-16034,2,"[Service-19571, Service-15492]",3,"[Service-5332, Service-11263, Service-5026]"
Service-16035,0,[],1,"[Service-10317]"
Service-16036,4,"[Service-14375, Service-15809, Service-9470, Service-18842]",1,"[Service-7886]"
Service-16037,3,"[Service-18582, Service-12857, Service-14181]",3,"[Service-4739, Service-1266, Service-12907]"
Service-16038,4,"[Service-11891, Service-10163, Service-14408, Service-15207]",3,"[Service-12427, Service-12523, Service-14392]"
Service-16039,2,"[Service-13109, Service-12843]",0,[]
Service-16040,3,"[Service-18565, Service-12688, Service-2996]",0,[]
Service-16041,2,"[Service-9997, Service-17356]",1,"[Service-4592]"
Service-16042,3,"[Service-7467, Service-293, Service-4861]",2,"[Service-15707, Service-4973]"
Service-16043,0,[],0,[]
Service-16044,3,"[Service-15981, Service-4119, Service-16942]",2,"[Service-12269, Service-15525]"
Service-16045,0,[],2,"[Service-6162, Service-19936]"
Service-16046,1,"[Service-14194]",0,[]
Service-16047,0,[],1,"[Service-19231]"
Service-16048,1,"[Service-831]",3,"[Service-9320, Service-8598, Service-18454]"
Service-16049,3,"[Service-12861, Service-5122, Service-18582]",3,"[Service-18031, Service-18207, Service-12742]"
Service-16050,3,"[Service-10086, Service-11027, Service-4067]",1,"[Service-9400]"
Service-16051,0,[],0,[]
Service-16052,3,"[Service-5639, Service-9522, Service-14946]",0,[]
Service-16053,0,[],3,"[Service-8763, Service-15103, Service-1288]"
Service-16054,2,"[Service-10329, Service-15858]",1,"[Service-14089]"
Service-16055,3,"[Service-6804, Service-16417, Service-17405]",2,"[Service-6163, Service-7257]"
Service-16056,4,"[Service-9196, Service-10748, Service-18149, Service-19768]",1,"[Service-15767]"
Service-16057,2,"[Service-6565, Service-17514]",2,"[Service-16336, Service-10059]"
Service-16058,3,"[Service-18624, Service-6810, Service-1383]",3,"[Service-8778, Service-14020, Service-1500]"
Service-16059,0,[],1,"[Service-1272]"
Service-16060,0,[],3,"[Service-7317, Service-7848, Service-1172]"
Service-16061,3,"[Service-18012, Service-16239, Service-4623]",4,"[Service-8678, Service-5838, Service-4364, Service-13303]"
Service-16062,3,"[Service-9057, Service-4297, Service-12030]",4,"[Service-8306, Service-18414, Service-5891, Service-5551]"
Service-16063,0,[],0,[]
Service-16064,3,"[Service-17404, Service-17167, Service-3115]",4,"[Service-640, Service-1857, Service-1992, Service-2827]"
Service-16065,4,"[Service-16914, Service-19016, Service-13242, Service-1005]",4,"[Service-11752, Service-11767, Service-16728, Service-9294]"
Service-16066,2,"[Service-11125, Service-5566]",2,"[Service-8358, Service-2256]"
Service-16067,0,[],2,"[Service-18987, Service-18172]"
Service-16068,4,"[Service-1720, Service-6553, Service-908, Service-11501]",2,"[Service-10065, Service-6006]"
Service-16069,1,"[Service-6855]",3,"[Service-1243, Service-5414, Service-10205]"
Service-16070,3,"[Service-2848, Service-903, Service-1212]",1,"[Service-2874]"
Service-16071,2,"[Service-8325, Service-5845]",2,"[Service-4853, Service-7449]"
Service-16072,2,"[Service-12941, Service-16488]",0,[]
Service-16073,0,[],3,"[Service-11125, Service-7661, Service-17937]"
Service-16074,4,"[Service-915, Service-578, Service-1200, Service-10862]",1,"[Service-18762]"
Service-16075,4,"[Service-19406, Service-17687, Service-4024, Service-9572]",2,"[Service-2793, Service-16919]"
Service-16076,0,[],2,"[Service-7165, Service-12020]"
Service-16077,0,[],2,"[Service-6559, Service-17623]"
Service-16078,3,"[Service-10393, Service-3221, Service-2015]",3,"[Service-11289, Service-6880, Service-17486]"
Service-16079,2,"[Service-17612, Service-16428]",0,[]
Service-16080,2,"[Service-5569, Service-14212]",4,"[Service-646, Service-9853, Service-7237, Service-1649]"
Service-16081,3,"[Service-7845, Service-12546, Service-13842]",3,"[Service-5816, Service-9936, Service-12282]"
Service-16082,0,[],1,"[Service-18040]"
Service-16083,4,"[Service-8823, Service-9015, Service-8515, Service-17299]",1,"[Service-11938]"
Service-16084,3,"[Service-10815, Service-1163, Service-10021]",0,[]
Service-16085,2,"[Service-14827, Service-16242]",2,"[Service-3299, Service-7488]"
Service-16086,3,"[Service-6432, Service-14395, Service-10210]",2,"[Service-3692, Service-14476]"
Service-16087,2,"[Service-4438, Service-7016]",4,"[Service-9846, Service-6153, Service-16781, Service-10384]"
Service-16088,2,"[Service-17141, Service-12141]",0,[]
Service-16089,1,"[Service-18166]",0,[]
Service-16090,1,"[Service-5693]",1,"[Service-17213]"
Service-16091,2,"[Service-14121, Service-1634]",1,"[Service-12726]"
Service-16092,0,[],4,"[Service-12363, Service-13720, Service-2548, Service-18870]"
Service-16093,0,[],2,"[Service-9002, Service-879]"
Service-16094,0,[],3,"[Service-4569, Service-1501, Service-8910]"
Service-16095,1,"[Service-4884]",0,[]
Service-16096,4,"[Service-3991, Service-6666, Service-105, Service-6626]",4,"[Service-218, Service-10284, Service-8233, Service-16729]"
Service-16097,3,"[Service-1275, Service-16705, Service-759]",0,[]
Service-16098,1,"[Service-2331]",2,"[Service-6675, Service-10590]"
Service-16099,4,"[Service-8058, Service-19604, Service-4431, Service-6387]",2,"[Service-11581, Service-12362]"
Service-16100,3,"[Service-12444, Service-1896, Service-19465]",3,"[Service-3603, Service-11752, Service-15944]"
Service-16101,0,[],1,"[Service-4211]"
Service-16102,3,"[Service-8489, Service-9381, Service-14947]",1,"[Service-11617]"
Service-16103,4,"[Service-8080, Service-19880, Service-1473, Service-16686]",3,"[Service-3976, Service-7165, Service-17001]"
Service-16104,4,"[Service-2655, Service-10147, Service-19148, Service-4297]",3,"[Service-19833, Service-13978, Service-2]"
Service-16105,4,"[Service-18294, Service-10790, Service-6, Service-17990]",4,"[Service-8262, Service-14243, Service-8840, Service-7166]"
Service-16106,4,"[Service-13655, Service-13688, Service-14876, Service-15279]",2,"[Service-3805, Service-6305]"
Service-16107,4,"[Service-3542, Service-11550, Service-19871, Service-9704]",0,[]
Service-16108,4,"[Service-16988, Service-15530, Service-9992, Service-18133]",1,"[Service-18265]"
Service-16109,1,"[Service-14706]",2,"[Service-9266, Service-12558]"
Service-16110,3,"[Service-2633, Service-5968, Service-8996]",0,[]
Service-16111,1,"[Service-17516]",1,"[Service-1188]"
Service-16112,0,[],0,[]
Service-16113,2,"[Service-6494, Service-3458]",3,"[Service-16101, Service-5805, Service-3105]"
Service-16114,2,"[Service-17399, Service-9613]",4,"[Service-5248, Service-12857, Service-779, Service-18614]"
Service-16115,1,"[Service-15361]",1,"[Service-16911]"
Service-16116,2,"[Service-7762, Service-6685]",4,"[Service-17687, Service-19359, Service-17878, Service-15724]"
Service-16117,2,"[Service-14890, Service-18172]",4,"[Service-3722, Service-541, Service-11438, Service-4207]"
Service-16118,4,"[Service-2659, Service-11717, Service-1984, Service-16358]",1,"[Service-18635]"
Service-16119,1,"[Service-15294]",4,"[Service-19904, Service-18433, Service-13274, Service-4924]"
Service-16120,2,"[Service-2699, Service-3348]",1,"[Service-2045]"
Service-16121,1,"[Service-5492]",0,[]
Service-16122,0,[],4,"[Service-5949, Service-19676, Service-1101, Service-13983]"
Service-16123,3,"[Service-4458, Service-15306, Service-115]",2,"[Service-8198, Service-10745]"
Service-16124,2,"[Service-18918, Service-7827]",0,[]
Service-16125,0,[],0,[]
Service-16126,2,"[Service-11419, Service-16053]",1,"[Service-4443]"
Service-16127,0,[],0,[]
Service-16128,1,"[Service-3632]",3,"[Service-7667, Service-9927, Service-1731]"
Service-16129,1,"[Service-14833]",0,[]
Service-16130,2,"[Service-18423, Service-19070]",2,"[Service-9396, Service-12488]"
Service-16131,3,"[Service-10604, Service-3848, Service-9489]",3,"[Service-13123, Service-19627, Service-19667]"
Service-16132,4,"[Service-11132, Service-10688, Service-6614, Service-8285]",3,"[Service-14015, Service-16846, Service-11762]"
Service-16133,0,[],0,[]
Service-16134,1,"[Service-1731]",2,"[Service-6176, Service-12757]"
Service-16135,3,"[Service-5351, Service-6170, Service-15722]",3,"[Service-17825, Service-12183, Service-4331]"
Service-16136,3,"[Service-6383, Service-14169, Service-5565]",1,"[Service-4134]"
Service-16137,4,"[Service-3909, Service-14223, Service-13733, Service-16029]",3,"[Service-16556, Service-11797, Service-6302]"
Service-16138,3,"[Service-1844, Service-911, Service-2831]",2,"[Service-2581, Service-19041]"
Service-16139,0,[],2,"[Service-13938, Service-6750]"
Service-16140,1,"[Service-3557]",1,"[Service-12941]"
Service-16141,4,"[Service-5384, Service-1299, Service-6753, Service-18054]",4,"[Service-19191, Service-11291, Service-3373, Service-13401]"
Service-16142,4,"[Service-6380, Service-10887, Service-13454, Service-17556]",4,"[Service-6040, Service-15874, Service-15094, Service-6148]"
Service-16143,4,"[Service-10502, Service-13832, Service-8707, Service-4333]",1,"[Service-1313]"
Service-16144,0,[],1,"[Service-14405]"
Service-16145,4,"[Service-15538, Service-239, Service-10413, Service-1114]",4,"[Service-17248, Service-15643, Service-4333, Service-4941]"
Service-16146,2,"[Service-6724, Service-9122]",4,"[Service-17511, Service-8897, Service-10185, Service-15504]"
Service-16147,0,[],1,"[Service-13902]"
Service-16148,0,[],2,"[Service-12832, Service-18463]"
Service-16149,1,"[Service-12963]",1,"[Service-6883]"
Service-16150,2,"[Service-11720, Service-16370]",4,"[Service-7002, Service-5038, Service-6574, Service-9934]"
Service-16151,3,"[Service-2523, Service-3638, Service-6855]",4,"[Service-7725, Service-17278, Service-14225, Service-211]"
Service-16152,4,"[Service-10159, Service-4899, Service-3760, Service-445]",1,"[Service-16487]"
Service-16153,2,"[Service-19183, Service-18321]",3,"[Service-7794, Service-12472, Service-12410]"
Service-16154,1,"[Service-9527]",0,[]
Service-16155,3,"[Service-11207, Service-18364, Service-2175]",3,"[Service-4340, Service-15052, Service-17858]"
Service-16156,0,[],2,"[Service-13259, Service-4039]"
Service-16157,0,[],2,"[Service-13327, Service-7747]"
Service-16158,4,"[Service-8556, Service-1458, Service-17807, Service-19901]",3,"[Service-5627, Service-17302, Service-8126]"
Service-16159,0,[],0,[]
Service-16160,4,"[Service-19112, Service-9895, Service-14056, Service-12840]",1,"[Service-18644]"
Service-16161,2,"[Service-17525, Service-9699]",3,"[Service-978, Service-15061, Service-16190]"
Service-16162,4,"[Service-12744, Service-6255, Service-4983, Service-7182]",2,"[Service-17394, Service-6008]"
Service-16163,2,"[Service-9636, Service-8472]",2,"[Service-18608, Service-14716]"
Service-16164,2,"[Service-1598, Service-11639]",4,"[Service-8191, Service-5079, Service-484, Service-4193]"
Service-16165,4,"[Service-515, Service-12334, Service-18984, Service-7668]",4,"[Service-12714, Service-15380, Service-13941, Service-7299]"
Service-16166,2,"[Service-190, Service-3684]",1,"[Service-1866]"
Service-16167,4,"[Service-9921, Service-3339, Service-2020, Service-17662]",0,[]
Service-16168,1,"[Service-16835]",1,"[Service-16922]"
Service-16169,0,[],2,"[Service-676, Service-14264]"
Service-16170,3,"[Service-4964, Service-6472, Service-379]",4,"[Service-14561, Service-4451, Service-17292, Service-1521]"
Service-16171,4,"[Service-7217, Service-5033, Service-5787, Service-5186]",3,"[Service-13354, Service-16632, Service-19971]"
Service-16172,4,"[Service-8235, Service-18664, Service-13671, Service-17855]",4,"[Service-14405, Service-16765, Service-2353, Service-16968]"
Service-16173,0,[],4,"[Service-2317, Service-3748, Service-6063, Service-19430]"
Service-16174,3,"[Service-4367, Service-833, Service-17383]",2,"[Service-10835, Service-3239]"
Service-16175,4,"[Service-9156, Service-9708, Service-16705, Service-14615]",1,"[Service-19763]"
Service-16176,0,[],2,"[Service-18404, Service-572]"
Service-16177,2,"[Service-2450, Service-17354]",0,[]
Service-16178,2,"[Service-16299, Service-4221]",3,"[Service-6064, Service-4944, Service-4254]"
Service-16179,2,"[Service-6833, Service-10177]",0,[]
Service-16180,1,"[Service-19480]",3,"[Service-2892, Service-18841, Service-7908]"
Service-16181,4,"[Service-14768, Service-3605, Service-4797, Service-2620]",3,"[Service-2742, Service-5793, Service-3964]"
Service-16182,2,"[Service-16841, Service-17836]",1,"[Service-10748]"
Service-16183,2,"[Service-10178, Service-18924]",3,"[Service-12130, Service-430, Service-18875]"
Service-16184,3,"[Service-1078, Service-4055, Service-13727]",4,"[Service-7650, Service-12220, Service-1829, Service-17347]"
Service-16185,0,[],2,"[Service-3622, Service-16461]"
Service-16186,3,"[Service-8669, Service-19013, Service-13726]",2,"[Service-16230, Service-454]"
Service-16187,1,"[Service-1375]",1,"[Service-18694]"
Service-16188,2,"[Service-5651, Service-2061]",3,"[Service-16266, Service-9514, Service-11326]"
Service-16189,2,"[Service-2864, Service-1215]",4,"[Service-11888, Service-2206, Service-6603, Service-5489]"
Service-16190,3,"[Service-13493, Service-6538, Service-16821]",4,"[Service-15327, Service-10936, Service-7791, Service-9127]"
Service-16191,4,"[Service-177, Service-17058, Service-11190, Service-13082]",0,[]
Service-16192,1,"[Service-3165]",4,"[Service-2766, Service-3553, Service-9784, Service-19564]"
Service-16193,1,"[Service-3651]",2,"[Service-5002, Service-16251]"
Service-16194,3,"[Service-14714, Service-9479, Service-13678]",3,"[Service-7413, Service-3161, Service-5196]"
Service-16195,2,"[Service-17537, Service-15004]",2,"[Service-11053, Service-5982]"
Service-16196,1,"[Service-10545]",0,[]
Service-16197,2,"[Service-12539, Service-4947]",3,"[Service-11354, Service-17209, Service-3896]"
Service-16198,4,"[Service-16586, Service-19075, Service-17873, Service-18116]",2,"[Service-2485, Service-5709]"
Service-16199,1,"[Service-19025]",4,"[Service-8111, Service-14632, Service-3886, Service-14901]"
Service-16200,2,"[Service-9381, Service-18671]",1,"[Service-14822]"
Service-16201,3,"[Service-2361, Service-14348, Service-17072]",0,[]
Service-16202,3,"[Service-5366, Service-12057, Service-10166]",2,"[Service-11675, Service-14121]"
Service-16203,2,"[Service-12385, Service-15851]",3,"[Service-12373, Service-2443, Service-5903]"
Service-16204,0,[],2,"[Service-2999, Service-9047]"
Service-16205,1,"[Service-6592]",3,"[Service-5066, Service-361, Service-11484]"
Service-16206,1,"[Service-12424]",2,"[Service-14548, Service-8400]"
Service-16207,4,"[Service-15022, Service-13951, Service-8868, Service-8664]",1,"[Service-7166]"
Service-16208,4,"[Service-8619, Service-18376, Service-18318, Service-12019]",1,"[Service-4250]"
Service-16209,4,"[Service-201, Service-5519, Service-4592, Service-9111]",0,[]
Service-16210,3,"[Service-11700, Service-16384, Service-5583]",0,[]
Service-16211,3,"[Service-19116, Service-6180, Service-2586]",4,"[Service-1767, Service-4324, Service-963, Service-3570]"
Service-16212,1,"[Service-3649]",3,"[Service-19344, Service-1711, Service-16141]"
Service-16213,0,[],3,"[Service-7436, Service-15448, Service-8075]"
Service-16214,2,"[Service-10858, Service-1358]",4,"[Service-16976, Service-9108, Service-13412, Service-11925]"
Service-16215,4,"[Service-13608, Service-2292, Service-3473, Service-16946]",3,"[Service-14247, Service-18675, Service-12817]"
Service-16216,3,"[Service-13840, Service-6190, Service-7220]",3,"[Service-13203, Service-19169, Service-15548]"
Service-16217,0,[],2,"[Service-6164, Service-13143]"
Service-16218,4,"[Service-1247, Service-8259, Service-806, Service-7968]",3,"[Service-10917, Service-215, Service-10266]"
Service-16219,0,[],4,"[Service-13403, Service-7744, Service-8566, Service-16200]"
Service-16220,2,"[Service-15696, Service-6623]",0,[]
Service-16221,2,"[Service-9474, Service-2388]",2,"[Service-819, Service-9532]"
Service-16222,3,"[Service-17178, Service-865, Service-6899]",4,"[Service-4555, Service-2078, Service-7247, Service-6910]"
Service-16223,3,"[Service-10607, Service-18166, Service-7819]",3,"[Service-14074, Service-11542, Service-3550]"
Service-16224,2,"[Service-11524, Service-12372]",1,"[Service-17921]"
Service-16225,2,"[Service-8283, Service-2346]",3,"[Service-2300, Service-2479, Service-14420]"
Service-16226,4,"[Service-2973, Service-4254, Service-12176, Service-12746]",1,"[Service-2157]"
Service-16227,0,[],4,"[Service-7679, Service-15182, Service-2853, Service-5741]"
Service-16228,3,"[Service-1364, Service-6403, Service-6708]",1,"[Service-2578]"
Service-16229,2,"[Service-11790, Service-18896]",4,"[Service-11800, Service-8084, Service-8807, Service-19941]"
Service-16230,1,"[Service-15749]",2,"[Service-8128, Service-12632]"
Service-16231,3,"[Service-1197, Service-10545, Service-9092]",2,"[Service-3707, Service-19846]"
Service-16232,4,"[Service-15414, Service-11755, Service-19781, Service-10445]",3,"[Service-5039, Service-2858, Service-10130]"
Service-16233,1,"[Service-12382]",1,"[Service-18113]"
Service-16234,0,[],3,"[Service-4345, Service-10453, Service-10416]"
Service-16235,1,"[Service-4514]",4,"[Service-10520, Service-11973, Service-6418, Service-14227]"
Service-16236,2,"[Service-3251, Service-4254]",2,"[Service-5885, Service-17014]"
Service-16237,0,[],2,"[Service-18261, Service-7723]"
Service-16238,1,"[Service-7465]",3,"[Service-12968, Service-5003, Service-10198]"
Service-16239,3,"[Service-11367, Service-786, Service-8482]",2,"[Service-9839, Service-3126]"
Service-16240,3,"[Service-11316, Service-13822, Service-3493]",2,"[Service-5734, Service-14514]"
Service-16241,1,"[Service-16384]",1,"[Service-17960]"
Service-16242,0,[],1,"[Service-13562]"
Service-16243,3,"[Service-17210, Service-4161, Service-17362]",4,"[Service-15160, Service-9775, Service-2037, Service-1540]"
Service-16244,3,"[Service-11707, Service-9830, Service-10401]",1,"[Service-5243]"
Service-16245,0,[],4,"[Service-19369, Service-19849, Service-9571, Service-16835]"
Service-16246,2,"[Service-11383, Service-9721]",4,"[Service-6187, Service-10809, Service-8202, Service-1647]"
Service-16247,1,"[Service-510]",4,"[Service-9424, Service-1168, Service-19542, Service-15032]"
Service-16248,0,[],1,"[Service-17684]"
Service-16249,3,"[Service-12175, Service-15182, Service-12999]",1,"[Service-8678]"
Service-16250,2,"[Service-13814, Service-1030]",2,"[Service-10048, Service-17594]"
Service-16251,2,"[Service-15035, Service-13189]",2,"[Service-19289, Service-13322]"
Service-16252,1,"[Service-18616]",3,"[Service-17263, Service-3911, Service-4616]"
Service-16253,2,"[Service-19565, Service-10466]",3,"[Service-15916, Service-7665, Service-1137]"
Service-16254,1,"[Service-10730]",0,[]
Service-16255,3,"[Service-1303, Service-635, Service-8419]",1,"[Service-12697]"
Service-16256,0,[],0,[]
Service-16257,2,"[Service-3024, Service-18512]",2,"[Service-18996, Service-8603]"
Service-16258,4,"[Service-3819, Service-12189, Service-19956, Service-2585]",2,"[Service-13138, Service-10260]"
Service-16259,0,[],1,"[Service-3447]"
Service-16260,4,"[Service-15642, Service-13724, Service-5376, Service-5854]",4,"[Service-384, Service-19443, Service-6118, Service-14956]"
Service-16261,1,"[Service-3361]",0,[]
Service-16262,3,"[Service-821, Service-13315, Service-6718]",0,[]
Service-16263,0,[],1,"[Service-16772]"
Service-16264,1,"[Service-13790]",3,"[Service-2452, Service-15569, Service-11196]"
Service-16265,2,"[Service-3779, Service-17287]",3,"[Service-9225, Service-12264, Service-1119]"
Service-16266,3,"[Service-13151, Service-3745, Service-142]",0,[]
Service-16267,4,"[Service-17226, Service-14296, Service-458, Service-18109]",0,[]
Service-16268,4,"[Service-2909, Service-11212, Service-2989, Service-5817]",3,"[Service-10278, Service-4989, Service-3197]"
Service-16269,2,"[Service-3949, Service-19825]",1,"[Service-13698]"
Service-16270,3,"[Service-11380, Service-5114, Service-10334]",2,"[Service-9774, Service-404]"
Service-16271,2,"[Service-4363, Service-16100]",1,"[Service-4823]"
Service-16272,2,"[Service-17157, Service-8595]",4,"[Service-7697, Service-13757, Service-18353, Service-7249]"
Service-16273,3,"[Service-7429, Service-15651, Service-9756]",4,"[Service-15144, Service-7691, Service-10529, Service-3108]"
Service-16274,2,"[Service-1861, Service-8485]",1,"[Service-13369]"
Service-16275,1,"[Service-2494]",0,[]
Service-16276,2,"[Service-9993, Service-8905]",0,[]
Service-16277,4,"[Service-13755, Service-12560, Service-8045, Service-375]",3,"[Service-13272, Service-7498, Service-14488]"
Service-16278,0,[],0,[]
Service-16279,2,"[Service-10206, Service-19553]",1,"[Service-14848]"
Service-16280,1,"[Service-11670]",2,"[Service-7290, Service-10431]"
Service-16281,0,[],0,[]
Service-16282,4,"[Service-18559, Service-2861, Service-17823, Service-3437]",4,"[Service-5872, Service-18944, Service-1276, Service-16958]"
Service-16283,1,"[Service-4531]",3,"[Service-7465, Service-5769, Service-3948]"
Service-16284,0,[],3,"[Service-18392, Service-17510, Service-14338]"
Service-16285,3,"[Service-14633, Service-12967, Service-15286]",3,"[Service-14247, Service-6362, Service-8569]"
Service-16286,3,"[Service-4044, Service-12901, Service-3171]",0,[]
Service-16287,2,"[Service-493, Service-6287]",4,"[Service-19371, Service-1134, Service-16576, Service-6692]"
Service-16288,0,[],1,"[Service-8603]"
Service-16289,4,"[Service-11464, Service-1672, Service-12867, Service-4872]",3,"[Service-11904, Service-809, Service-18208]"
Service-16290,2,"[Service-16461, Service-12648]",1,"[Service-18027]"
Service-16291,4,"[Service-16325, Service-16166, Service-16833, Service-10508]",3,"[Service-3980, Service-6846, Service-5028]"
Service-16292,3,"[Service-17306, Service-1216, Service-4260]",0,[]
Service-16293,2,"[Service-11494, Service-12243]",3,"[Service-6058, Service-835, Service-3945]"
Service-16294,1,"[Service-1053]",4,"[Service-6495, Service-10564, Service-18168, Service-17061]"
Service-16295,2,"[Service-5194, Service-16680]",0,[]
Service-16296,4,"[Service-3317, Service-1861, Service-14731, Service-8763]",4,"[Service-7530, Service-18514, Service-17743, Service-13623]"
Service-16297,2,"[Service-5267, Service-8226]",3,"[Service-2724, Service-9129, Service-5490]"
Service-16298,2,"[Service-8998, Service-9520]",1,"[Service-12025]"
Service-16299,1,"[Service-13699]",2,"[Service-5716, Service-10606]"
Service-16300,3,"[Service-9328, Service-10530, Service-13835]",1,"[Service-9347]"
Service-16301,1,"[Service-12474]",3,"[Service-3777, Service-7029, Service-13755]"
Service-16302,3,"[Service-13725, Service-5798, Service-5454]",2,"[Service-15188, Service-1684]"
Service-16303,3,"[Service-243, Service-13315, Service-19507]",1,"[Service-1753]"
Service-16304,1,"[Service-769]",4,"[Service-13063, Service-2874, Service-13623, Service-11971]"
Service-16305,0,[],1,"[Service-7817]"
Service-16306,2,"[Service-2168, Service-1678]",4,"[Service-2987, Service-12653, Service-7794, Service-2458]"
Service-16307,3,"[Service-12867, Service-8087, Service-18705]",0,[]
Service-16308,2,"[Service-7588, Service-1593]",1,"[Service-7919]"
Service-16309,0,[],2,"[Service-8044, Service-13997]"
Service-16310,2,"[Service-12956, Service-15685]",3,"[Service-11107, Service-17014, Service-1375]"
Service-16311,0,[],2,"[Service-7097, Service-14202]"
Service-16312,0,[],4,"[Service-5444, Service-14242, Service-10378, Service-92]"
Service-16313,2,"[Service-10698, Service-2557]",3,"[Service-9047, Service-14907, Service-11763]"
Service-16314,1,"[Service-7800]",0,[]
Service-16315,0,[],3,"[Service-11050, Service-17007, Service-7505]"
Service-16316,4,"[Service-18515, Service-16137, Service-1199, Service-10689]",2,"[Service-7135, Service-5513]"
Service-16317,3,"[Service-2567, Service-9440, Service-2428]",3,"[Service-13125, Service-3683, Service-13648]"
Service-16318,3,"[Service-12057, Service-3453, Service-15956]",4,"[Service-10167, Service-8377, Service-4162, Service-9423]"
Service-16319,3,"[Service-12605, Service-10432, Service-11279]",4,"[Service-4534, Service-7862, Service-1974, Service-12297]"
Service-16320,4,"[Service-5805, Service-18983, Service-5264, Service-154]",4,"[Service-1887, Service-5575, Service-15916, Service-2290]"
Service-16321,1,"[Service-4152]",1,"[Service-12106]"
Service-16322,4,"[Service-4161, Service-14961, Service-3696, Service-15704]",1,"[Service-945]"
Service-16323,3,"[Service-7650, Service-1799, Service-314]",4,"[Service-19403, Service-4491, Service-11312, Service-1877]"
Service-16324,3,"[Service-3992, Service-14922, Service-8644]",4,"[Service-10487, Service-4555, Service-1770, Service-6117]"
Service-16325,1,"[Service-11521]",2,"[Service-12126, Service-19431]"
Service-16326,2,"[Service-2453, Service-6172]",1,"[Service-1052]"
Service-16327,1,"[Service-14157]",3,"[Service-11895, Service-14929, Service-19442]"
Service-16328,3,"[Service-662, Service-8616, Service-206]",3,"[Service-6394, Service-6296, Service-11332]"
Service-16329,4,"[Service-648, Service-15224, Service-3637, Service-8949]",3,"[Service-14840, Service-4619, Service-5816]"
Service-16330,4,"[Service-11721, Service-8145, Service-2320, Service-13456]",4,"[Service-6212, Service-12772, Service-13779, Service-18312]"
Service-16331,1,"[Service-7929]",2,"[Service-8286, Service-7157]"
Service-16332,4,"[Service-5774, Service-18847, Service-17763, Service-4259]",3,"[Service-5957, Service-12247, Service-9633]"
Service-16333,2,"[Service-14858, Service-987]",3,"[Service-13574, Service-13632, Service-7666]"
Service-16334,2,"[Service-14808, Service-6718]",3,"[Service-8720, Service-18021, Service-3643]"
Service-16335,4,"[Service-8596, Service-3484, Service-7760, Service-9296]",1,"[Service-12057]"
Service-16336,1,"[Service-19080]",0,[]
Service-16337,1,"[Service-9830]",2,"[Service-8559, Service-4608]"
Service-16338,2,"[Service-8750, Service-17808]",4,"[Service-19376, Service-13455, Service-3508, Service-16770]"
Service-16339,2,"[Service-5481, Service-928]",4,"[Service-2158, Service-17717, Service-13985, Service-966]"
Service-16340,1,"[Service-5594]",2,"[Service-16888, Service-15184]"
Service-16341,4,"[Service-3732, Service-16840, Service-18373, Service-13246]",2,"[Service-8542, Service-1315]"
